,runsolver_WCTIME,runsolver_CPUTIME,runsolver_USERTIME,runsolver_SYSTEMTIME,runsolver_CPUUSAGE,runsolver_MAXVM,runsolver_TIMEOUT,runsolver_MEMOUT,runsolver_STATUS,perf_dTLB_load_misses,perf_dTLB_loads,perf_dTLB_store_misses,perf_dTLB_stores,perf_iTLB_load_misses,perf_iTLB_loads,perf_cycles,perf_cache_misses,perf_elapsed,return_code,cpu_time,wall_time,max_memory,platform,hostname,run_id,verdict,runsolver_error
28,86.5502,86.5448,86.3781,0.16669,99.9938,548284,false,false,20,703921372,140763309103401,166911516,17316035073,262446,8510,212451519863,263955718,86.536945403,20,86.5448,86.5502,548284,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/hwmcc10-timeframe-expansion-k45-bobsm5378d2-tseitin.cnf.gz/0,OK,NaN
29,129.868,129.863,128.964,0.899537,99.9964,1418036,false,false,10,1346556892,281489186865268,235624458,16727076753,816938,8826,317031258497,744784701,129.854329877,10,129.863,129.868,1418036,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/partial-5-13-s.cnf.gz/0,OK,NaN
30,765.422,765.224,764.064,1.15978,99.9742,1424748,false,false,20,11814865491,1688864923672159,2068134324,86741795942,1705769,15197,1867765392482,8036577747,765.213628672,20,765.224,765.422,1424748,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/UR-15-10p0.cnf.gz/0,OK,NaN
31,0.844904,0.835444,0.816623,0.018821,98.8804,417952,false,false,20,259341,685678007,10791,205007374,15671,5634,2051111300,158523,0.830084495,20,0.835444,0.844904,417952,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/cmu-bmc-barrel6.cnf.gz/0,OK,NaN
32,0.517216,0.509976,0.46861,0.041366,98.6002,440676,false,false,20,1920595,376723021,543784,142793532,38350,6011,1238870819,1803369,0.503642825,20,0.509976,0.517216,440676,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/een-tip-uns-nusmv-t5.B.cnf.gz/0,OK,NaN
33,70.0134,70.007,69.8166,0.190479,99.9909,599796,false,false,20,1063506383,281476176400508,209022226,13217111292,262637,10333,167622354021,167110325,70.000159353,20,70.007,70.0134,599796,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/uts-l06-ipc5-h33-unknown.cnf.gz/0,OK,NaN
34,49.0536,49.0463,48.8775,0.168771,99.9851,546192,false,false,10,591760300,140759355047522,155943738,8640004027,203393,11134,118893728397,178427775,49.040566105,10,49.0463,49.0536,546192,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/SAT_dat.k60.debugged.cnf.gz/0,OK,NaN
35,0.0477151,0.042492,0.027936,0.014556,89.0537,0,false,false,10,33517,21371121,2581,8438452,12589,5546,73433080,29981,0.034615678,10,0.042492,0.0477151,0,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/aes_32_1_keyfind_1.cnf.gz/0,OK,NaN
36,0.413982,0.39741,0.37156,0.02585,95.9969,426432,false,false,20,794195,306524716,229330,111732926,23688,6109,957733959,524328,0.394231850,20,0.39741,0.413982,426432,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/manol-pipe-g6bi.cnf.gz/0,OK,NaN
37,45.809,45.8041,45.3444,0.459704,99.9892,793496,false,false,10,541508255,30852233396,106742258,10712174654,503983,23044,114208949398,221224778,45.795135256,10,45.8041,45.809,793496,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/clauses-6.cnf.gz/0,OK,NaN
38,36.2266,36.2179,36.1316,0.086286,99.9759,485992,false,false,20,438295572,20868190847,75130318,6695228695,125656,6396,90300312990,14655454,36.212898658,20,36.2179,36.2266,485992,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/dated-5-11-u.cnf.gz/0,OK,NaN
39,81.3893,81.3836,80.3925,0.991109,99.993,1445176,false,false,10,691712405,140772995656616,90083156,15332102088,923069,6874,201685125496,406605336,81.376372569,10,81.3836,81.3893,1445176,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/aaai10-planning-ipc5-pipesworld-18-step16.cnf.gz/0,OK,NaN
40,5.81123,5.79197,5.70884,0.083131,99.6686,477764,false,false,20,44624602,3395623033,13779327,1191527986,87187,8680,14413362033,26681553,5.784336935,20,5.79197,5.81123,477764,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/hwmcc10-timeframe-expansion-k50-pdtvisns2p3-tseitin.cnf.gz/0,OK,NaN
41,900.122,900.108,898.136,1.97164,99.9984,2088720,true,false,0,9357838092,2111065056618769,1536735472,136827595462,2408960,23027,2227803949176,10101788836,900.025592604,0,900.108,900.122,2088720,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/9dlx_vliw_at_b_iq5.cnf.gz/0,TLE,NaN
42,0.424647,0.419483,0.36016,0.059323,98.7839,466904,false,false,20,782564,406617040,254760,178840750,64717,7978,1014026341,2300335,0.411819995,20,0.419483,0.424647,466904,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/dspam_dump_vc950.cnf.gz/0,OK,NaN
43,81.905,81.8916,81.4296,0.462061,99.9836,864120,false,false,20,848021646,281478306697369,155475615,11172212471,443229,8142,197273991395,433164174,81.889732257,20,81.8916,81.905,864120,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/UTI-15-10p0.cnf.gz/0,OK,NaN
44,51.9995,51.993,51.9418,0.051258,99.9875,440856,false,false,20,362533994,140766570727955,97219732,11162290991,141697,6733,129591402571,36304274,51.986781728,20,51.993,51.9995,440856,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/all.used-as.sat04-986.cnf.gz/0,OK,NaN
45,22.721,22.7146,22.552,0.162621,99.9718,529576,false,false,10,187019350,140741597523719,64123176,4407227074,146607,7331,55314797212,46158091,22.707688838,10,22.7146,22.721,529576,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/sha0_35_4.cnf.gz/0,OK,NaN
46,183.663,183.656,182.013,1.64339,99.9964,1979176,false,false,20,1024235381,422256063246275,171410400,50488582657,1505012,24015,447683113023,1635781472,183.649127111,20,183.656,183.663,1979176,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/grid-strips-grid-y-3.035-NOTKNOWN.cnf.gz/0,OK,NaN
47,900.039,900.036,900.014,0.022696,99.9997,428144,true,false,0,418846111,2111065068711012,129883264,201595528351,1474882,16578,2197200783974,147521498,900.026031594,0,900.036,900.039,428144,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/eq.atree.braun.10.unsat.cnf.gz/0,TLE,NaN
48,240.822,240.794,235.453,5.3418,99.9885,7005032,false,false,10,1407458085,562979119924751,321121735,47558518418,5137506,14415,593297430845,1282899792,240.809082522,10,240.794,240.822,7005032,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf.gz/0,OK,NaN
49,21.1707,21.1521,20.8047,0.347371,99.9123,717452,false,false,10,148186354,140745351453379,29468849,5041594363,333525,7074,49349402598,176895682,21.152024068,10,21.1521,21.1707,717452,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/aaai10-planning-ipc5-TPP-30-step11.cnf.gz/0,OK,NaN
50,44.8095,44.7813,44.699,0.082336,99.9371,460612,false,false,10,306905081,140739854501337,54013391,7744830380,126944,6573,108230618822,64334680,44.795119739,10,44.7813,44.8095,460612,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/vmpc_27.cnf.gz/0,OK,NaN
51,558.154,558.149,557.312,0.836907,99.999,1161532,false,false,20,9147399320,1266646391201654,2248002168,73117467979,1347446,16427,1361696961478,6072845970,558.139598857,20,558.149,558.154,1161532,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/manol-pipe-f10ni.cnf.gz/0,OK,NaN
52,263.658,263.646,263.182,0.463689,99.9953,777212,false,false,20,4122773394,703690328873486,1204037449,37841623681,719160,14939,651941382445,2148718248,263.644267147,20,263.646,263.658,777212,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/manol-pipe-c10nid_i.cnf.gz/0,OK,NaN
53,0.244517,0.218432,0.188961,0.029471,89.3321,425220,false,false,10,521897,189215892,91602,66013948,22863,6150,511772928,580448,0.218613651,10,0.218432,0.244517,425220,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/AProVE09-11.cnf.gz/0,OK,NaN
54,0.148004,0.133169,0.119079,0.01409,89.9766,416064,false,false,20,69815,79985906,8089,29841258,14076,5668,299129022,35398,0.132209138,20,0.133169,0.148004,416064,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/rand_net60-30-1.shuffled.cnf.gz/0,OK,NaN
55,171.27,171.224,170.494,0.729444,99.9731,1096840,false,false,10,1904775678,422226767766096,360001815,22338072017,757716,9520,423192440744,1137162894,171.254592700,10,171.224,171.27,1096840,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/UTI-20-5p1.cnf.gz/0,OK,NaN
56,168.681,168.668,168.462,0.205797,99.9923,584940,false,false,20,2110276848,281514044604924,325907476,34335857483,445095,7491,413731764895,282490364,168.668289404,20,168.668,168.681,584940,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/anbul-dated-5-15-u.cnf.gz/0,OK,NaN
57,900.05,900.034,898.23,1.8036,99.9982,690020,true,false,0,8148902168,2111081668843529,1244739037,143160551920,2780580,15741,2209824953356,1303692743,900.015238133,0,900.034,900.05,690020,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/gripper13u.shuffled-as.sat03-395.cnf.gz/0,TLE,NaN
58,138.17,138.141,137.553,0.58783,99.9795,842628,false,false,10,2711048878,422216388827316,597718903,18855845029,725058,18620,334230658159,984276991,138.155897226,10,138.141,138.17,842628,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/safe-50-h50-sat.cnf.gz/0,OK,NaN
59,305.786,305.754,305.189,0.564849,99.9894,795456,false,false,20,4871071543,703714490214747,1214535712,44745779426,900795,12159,745208901275,2392441669,305.744852336,20,305.754,305.786,795456,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/manol-pipe-f9n.cnf.gz/0,OK,NaN
60,95.145,95.1342,94.2825,0.85167,99.9887,1371292,false,false,10,995859371,281491346362151,170347165,15589394562,771344,6804,230285086289,448678672,95.131122426,10,95.1342,95.145,1371292,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/aaai10-planning-ipc5-pipesworld-12-step16.cnf.gz/0,OK,NaN
61,606.515,606.506,605.375,1.1308,99.9986,1074700,false,false,10,9371405350,1548114575953776,2616378599,87150221295,1622333,12166,1475280756330,3873182532,606.501361679,10,606.506,606.515,1074700,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/IBM_FV_2004_rule_batch_30_SAT_dat.k55.cnf.gz/0,OK,NaN
