,runsolver_WCTIME,runsolver_CPUTIME,runsolver_USERTIME,runsolver_SYSTEMTIME,runsolver_CPUUSAGE,runsolver_MAXVM,runsolver_TIMEOUT,runsolver_MEMOUT,runsolver_STATUS,perf_tlb_miss,perf_cycles,perf_cache_misses,perf_elapsed,return_code,cpu_time,wall_time,max_memory,platform,hostname,run_id,verdict,runsolver_error
10,903.143,117.107,116.847,0.260088,12.9666,403508,true,false,1,-1,-1,-1,-1,1,117.107,903.143,403508,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/mizh-sha0-36-4.cnf.gz/0,TLE,NaN
11,902.724,110.289,110.118,0.171893,12.2174,401092,true,false,1,-1,-1,-1,-1,1,110.289,902.724,401092,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/velev-vliw-uns-2.0-iq2.cnf.gz/0,TLE,NaN
12,889.83,112.853,112.657,0.195371,12.6825,427916,false,false,20,70452767,281177395576,426546216,888.756230394,20,112.853,889.83,427916,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/total-10-13-u.cnf.gz/0,OK,NaN
13,819.088,108.775,108.534,0.240678,13.28,467796,false,false,10,562949966727242,270972025912,745514771,818.339116349,10,108.775,819.088,467796,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/SAT_dat.k90.debugged.cnf.gz/0,OK,NaN
14,25.7969,3.00239,2.83359,0.168794,11.6386,404556,false,false,10,7947124,7438988932,21019120,25.179730815,10,3.00239,25.7969,404556,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.gz/0,OK,NaN
15,903.96,120.668,117.509,3.15844,13.3488,653704,true,false,1,562949983357912,300545285558,1110984685,903.562059087,1,120.668,903.96,653704,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/aaai10-planning-ipc5-pipesworld-27-step13.cnf.gz/0,TLE,NaN
16,473.54,63.8821,63.7865,0.095645,13.4903,381900,false,false,20,281474989180323,159132745608,220678139,473.105664198,20,63.8821,473.54,381900,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/IBM_FV_2004_rule_batch_2_31_2_SAT_dat.k25.debugged.cnf.gz/0,OK,NaN
17,902.989,121.341,121.09,0.251438,13.4378,426884,true,false,1,140737505319381,302246819933,841658055,901.781214365,1,121.341,902.989,426884,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/UTI-15-5p1.cnf.gz/0,TLE,NaN
18,171.47,21.1309,20.9832,0.14771,12.3234,436632,false,false,20,15724398,52623626019,69734804,170.858886378,20,21.1309,171.47,436632,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf.gz/0,OK,NaN
19,903.17,112.392,112.109,0.28243,12.4441,403948,true,false,1,-1,-1,-1,-1,1,112.392,903.17,403948,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/sha0_36_5.cnf.gz/0,TLE,NaN
20,1.99497,1.33683,1.27891,0.057914,67.0098,377672,false,false,20,267657,3276549749,316424,1.710770583,20,1.33683,1.99497,377672,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.gz/0,OK,NaN
21,582.843,73.9016,73.7713,0.130317,12.6795,409884,false,false,20,422212476828333,184084274372,237953791,581.907591518,20,73.9016,582.843,409884,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/AProVE11-11.cnf.gz/0,OK,NaN
22,902.763,114.461,114.318,0.143413,12.679,389200,true,false,143,140737502381443,285133313928,375751741,902.140004250,143,114.461,902.763,389200,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/rbcl_xits_07_UNSAT.cnf.gz/0,TLE,NaN
23,264.498,36.2194,36.05,0.169408,13.6936,427952,false,false,20,47369143,90169179236,247070401,264.240024807,20,36.2194,264.498,427952,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/simon-s03-fifo8-400.cnf.gz/0,OK,NaN
24,40.3566,5.02271,4.95597,0.066741,12.4458,377276,false,false,10,515665,12447161496,6873724,39.945247264,10,5.02271,40.3566,377276,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/AProVE09-05.cnf.gz/0,OK,NaN
25,903.049,116.477,115.981,0.495765,12.8982,542784,true,false,1,140737611890877,290172624184,821990211,901.857686787,1,116.477,903.049,542784,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/manol-pipe-c10nidw.cnf.gz/0,TLE,NaN
26,901.457,123.409,123.259,0.150714,13.69,405884,true,false,143,-1,-1,-1,-1,143,123.409,901.457,405884,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5483.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.gz/0,TLE,NaN
27,95.1539,12.4482,12.356,0.09224,13.0822,377608,false,false,20,1607525,30927481298,23891644,94.637660367,20,12.4482,95.1539,377608,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/slp-synthesis-aes-bottom12.cnf.gz/0,OK,NaN
28,476.707,65.0478,64.9104,0.137401,13.6452,403336,false,false,20,422212478354148,161975374834,322750667,476.416545556,20,65.0478,476.707,403336,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/hwmcc10-timeframe-expansion-k45-bobsm5378d2-tseitin.cnf.gz/0,OK,NaN
29,708.293,97.6049,97.4299,0.174988,13.7803,420640,false,false,10,281474988313027,243104260571,661891541,707.435116114,10,97.6049,708.293,420640,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/partial-5-13-s.cnf.gz/0,OK,NaN
30,903.001,116.974,116.691,0.282576,12.9539,442084,true,false,1,422212540454985,291401879732,1103411431,902.738866782,1,116.974,903.001,442084,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/UR-15-10p0.cnf.gz/0,TLE,NaN
31,4.90611,0.452589,0.404324,0.048265,9.22501,370268,false,false,20,154854,1093082761,702041,4.668069993,20,0.452589,4.90611,370268,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5584.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/cmu-bmc-barrel6.cnf.gz/0,OK,NaN
32,16.017,2.24843,2.17829,0.070139,14.0377,319804,false,false,20,1248211,5505315605,6538588,15.454632345,20,2.24843,16.017,319804,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/een-tip-uns-nusmv-t5.B.cnf.gz/0,OK,NaN
33,446.004,55.4235,55.1561,0.267439,12.4267,479272,false,false,20,140737520718253,137992330270,385238812,445.374409062,20,55.4235,446.004,479272,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/uts-l06-ipc5-h33-unknown.cnf.gz/0,OK,NaN
34,489.135,63.0059,62.8229,0.182903,12.8811,430608,false,false,10,281475034156936,156931908909,363531433,488.032722072,10,63.0059,489.135,430608,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/SAT_dat.k60.debugged.cnf.gz/0,OK,NaN
35,3.4144,0.084822,0.055226,0.029596,2.48424,299528,false,false,10,122569,172261224,264204,2.327830084,10,0.084822,3.4144,299528,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5483.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/aes_32_1_keyfind_1.cnf.gz/0,OK,NaN
36,12.895,1.43273,1.38119,0.051548,11.1107,381248,false,false,20,343979,3535414827,3222896,12.572830623,20,1.43273,12.895,381248,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/manol-pipe-g6bi.cnf.gz/0,OK,NaN
37,833.127,103.963,103.294,0.668665,12.4786,592968,false,false,10,140737556939072,258991839434,601977341,832.045200118,10,103.963,833.127,592968,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/clauses-6.cnf.gz/0,OK,NaN
38,100.242,12.8629,12.7751,0.08774,12.8318,396560,false,false,20,2224341,31993007405,20511880,99.975102312,20,12.8629,100.242,396560,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/dated-5-11-u.cnf.gz/0,OK,NaN
39,655.6,90.8678,90.1505,0.71737,13.8603,527936,false,false,10,140737522769398,226361721287,766498897,654.822931526,10,90.8678,655.6,527936,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/aaai10-planning-ipc5-pipesworld-18-step16.cnf.gz/0,OK,NaN
40,106.023,13.7541,13.6183,0.135742,12.9727,429912,false,false,20,11060709,34208731194,59512580,103.780898544,20,13.7541,106.023,429912,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/hwmcc10-timeframe-expansion-k50-pdtvisns2p3-tseitin.cnf.gz/0,OK,NaN
41,903.375,115.841,114.461,1.38006,12.8231,529764,true,false,1,-1,-1,-1,-1,1,115.841,903.375,529764,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/9dlx_vliw_at_b_iq5.cnf.gz/0,TLE,NaN
42,41.4867,5.29743,5.12771,0.169715,12.769,394812,false,false,20,3937050,13084262474,15325995,41.289064783,20,5.29743,41.4867,394812,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/dspam_dump_vc950.cnf.gz/0,OK,NaN
43,901.045,119.89,119.646,0.244474,13.3057,431176,true,false,143,-1,-1,-1,-1,143,119.89,901.045,431176,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5483.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/UTI-15-10p0.cnf.gz/0,TLE,NaN
44,177.195,23.8577,23.7969,0.060715,13.4641,379136,false,false,20,5296199,59409133332,65406538,176.478574707,20,23.8577,177.195,379136,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/all.used-as.sat04-986.cnf.gz/0,OK,NaN
45,905.171,118.367,118.09,0.277598,13.0768,401224,true,false,1,140737699907108,294863652358,733870851,904.858210559,1,118.367,905.171,401224,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/sha0_35_4.cnf.gz/0,TLE,NaN
46,902.552,119.5,119.08,0.419152,13.2402,527496,true,false,143,-1,-1,-1,-1,143,119.5,902.552,527496,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/grid-strips-grid-y-3.035-NOTKNOWN.cnf.gz/0,TLE,NaN
47,805.015,106.344,106.192,0.152202,13.2102,383032,false,false,20,422212505438548,264889524671,441389579,804.316053689,20,106.344,805.015,383032,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/eq.atree.braun.10.unsat.cnf.gz/0,OK,NaN
48,903.02,117.884,115.895,1.98923,13.0544,702600,true,false,1,281475010159346,293606397548,631163048,901.998443288,1,117.884,903.02,702600,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf.gz/0,TLE,NaN
49,535.778,71.1719,70.6201,0.551821,13.2838,538016,false,false,10,213491550,177272112814,1005315717,535.575302748,10,71.1719,535.778,538016,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/aaai10-planning-ipc5-TPP-30-step11.cnf.gz/0,OK,NaN
50,904.909,114.909,114.637,0.272169,12.6985,387112,true,false,1,39706207,286317447744,294088625,903.665128343,1,114.909,904.909,387112,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/vmpc_27.cnf.gz/0,TLE,NaN
51,903.05,116.579,116.156,0.422996,12.9094,498584,true,false,1,562949982819071,290357804858,727396785,901.759666069,1,116.579,903.05,498584,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/manol-pipe-f10ni.cnf.gz/0,TLE,NaN
52,903.145,111.475,111.265,0.209998,12.343,470460,true,false,1,562950053227407,277697760191,779228672,902.913781579,1,111.475,903.145,470460,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/manol-pipe-c10nid_i.cnf.gz/0,TLE,NaN
53,22.1085,2.2677,2.21495,0.052748,10.2571,312236,false,false,10,327032,5596938515,2239022,19.870366348,10,2.2677,22.1085,312236,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/AProVE09-11.cnf.gz/0,OK,NaN
54,0.799514,0.107074,0.046907,0.060167,13.3924,186376,false,false,20,128789,166536701,60126,0.292618623,20,0.107074,0.799514,186376,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/rand_net60-30-1.shuffled.cnf.gz/0,OK,NaN
55,903.022,116.83,116.569,0.261392,12.9377,452676,true,false,1,281474993577366,290989477894,962516135,902.600315585,1,116.83,903.022,452676,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/UTI-20-5p1.cnf.gz/0,TLE,NaN
56,359.094,46.1777,46.052,0.12569,12.8595,416396,false,false,20,9295399,115009480038,107098240,358.728273176,20,46.1777,359.094,416396,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/anbul-dated-5-15-u.cnf.gz/0,OK,NaN
57,901.052,122.054,121.884,0.169715,13.5457,386532,true,false,1,-1,-1,-1,-1,1,122.054,901.052,386532,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5483.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/gripper13u.shuffled-as.sat03-395.cnf.gz/0,TLE,NaN
58,904.883,106.369,105.193,1.1762,11.755,717960,true,false,1,422212544541026,264957169762,1032317688,903.614827097,1,106.369,904.883,717960,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/safe-50-h50-sat.cnf.gz/0,TLE,NaN
59,698.959,91.6506,91.4572,0.193362,13.1124,448336,false,false,20,108222517,228342148794,440210423,698.430169338,20,91.6506,698.959,448336,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/manol-pipe-f9n.cnf.gz/0,OK,NaN
60,902.988,117.113,116.892,0.221032,12.9695,433468,true,false,143,140737620250960,291677287638,906443549,902.142791877,143,117.113,902.988,433468,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/aaai10-planning-ipc5-pipesworld-12-step16.cnf.gz/0,TLE,NaN
61,901.414,116.821,116.609,0.211553,12.9597,410880,true,false,143,-1,-1,-1,-1,143,116.821,901.414,410880,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/IBM_FV_2004_rule_batch_30_SAT_dat.k55.cnf.gz/0,TLE,NaN
62,593.806,78.259,78.0984,0.160606,13.1792,408508,false,false,20,121565233,194968251393,440828155,593.368933263,20,78.259,593.806,408508,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5483.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/IBM_FV_2004_rule_batch_1_31_2_SAT_dat.k65.debugged.cnf.gz/0,OK,NaN
63,505.369,68.2009,68.0847,0.11621,13.4953,375396,false,false,20,140737491666000,169840655148,171542884,504.922048713,20,68.2009,505.369,375396,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/AProVE07-20.cnf.gz/0,OK,NaN
64,903.485,116.052,115.884,0.167867,12.8449,402904,true,false,143,-1,-1,-1,-1,143,116.052,903.485,402904,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/q_query_3_l46_lambda.cnf.gz/0,TLE,NaN
65,2.51215,0.690673,0.620067,0.070606,27.4933,372264,false,false,10,171430,1618231068,446964,2.271741007,10,0.690673,2.51215,372264,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/bart17.shuffled.cnf.gz/0,OK,NaN
66,903.373,119.625,119.248,0.377201,13.2421,414452,true,false,1,-1,-1,-1,-1,1,119.625,903.373,414452,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/md5_48_1.cnf.gz/0,TLE,NaN
67,427.405,57.7668,57.675,0.091852,13.5157,394120,false,false,20,140737505168119,143886532360,198638327,426.775832694,20,57.7668,427.405,394120,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/AProVE07-16.cnf.gz/0,OK,NaN
68,544.978,73.4592,73.3389,0.120304,13.4793,380256,false,false,20,140737547409748,182943216860,318254233,543.676934365,20,73.4592,544.978,380256,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/simon-s02-f2clk-50.cnf.gz/0,OK,NaN
69,147.824,18.5647,18.392,0.172762,12.5586,437764,false,false,10,24489138,46206661665,111635155,146.617344929,10,18.5647,147.824,437764,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/safe-30-h30-sat.cnf.gz/0,OK,NaN
