,runsolver_MAXVM,max_memory,width_frac_denominator,runsolver_STATUS,pre_wall,runsolver_WCTIME,enc_wall,runsolver_TIMEOUT,width_frac_numerator,perf_cycles,pre_clique_size,cpu_time,run_id,perf_dTLB_loads,runsolver_SYSTEMTIME,runsolver_USERTIME,#vertices,perf_dTLB_store_misses,size_largest_hyperedge,perf_iTLB_load_misses,width,platform,#hyperedges,err,perf_dTLB_load_misses,perf_elapsed,perf_iTLB_loads,runsolver_MEMOUT,perf_cache_misses,ret_fhtd,runsolver_CPUUSAGE,hostname,num_twins,runsolver_CPUTIME,return_code,verdict,wall_time,runsolver_error,hash,perf_dTLB_stores
20,909200,909200,NaN,1,NaN,2743.02,NaN,false,NaN,6767421977773,NaN,2742.31,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-7-40-8-40-25000-8.xml.hg/0,3931037709857,0.711868,2741.59,NaN,25502136,NaN,46450172,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,694358292,2742.880926452,8131081,false,162159585,NaN,99.974,taurusi6406.taurus.hrsk.tu-dresden.de,NaN,2742.31,1,MODEL_REC,2743.02,NaN,NaN,2766834181915
21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-28-28-93-632f-42.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
22,757368,757368,1,0,[],1.86881,0,false,2.4000000000000004,2391948164,[],1.22967,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-5-4X-05c-16.xml.hg/0,788873629,0.37027,0.859396,12,314412,5,1210109,2.4000000000000004,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,89,NaN,2388680,1.668941012,1201811,false,1019480,1,65.7994,taurusi6586.taurus.hrsk.tu-dresden.de,[],1.22967,0,OK,1.86881,NaN,2767c389c673dfb7940763d249301ce8729fea4937703690003f6d4034511e1c,441863315
23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-8-20-5-18-800-11.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-20-20-60-632f-19.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
25,1826032,1826032,1,0,[0.3742210865020752],180.129,6.418843746185303,false,8,441346730516,[1],179.98,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/reg-s20-p03-c20-d10-n10-l5-37.xml.hg/0,184414391576,5.67531,174.304,130,316116234,3,60598629,8.0,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,100,NaN,1874297238,179.871919001,99011822,false,1018270921,1,99.9169,taurusi6475.taurus.hrsk.tu-dresden.de,[0],179.98,0,OK,180.129,NaN,988465f157fefc866a436ebea32673a898c1e6b9a97ff41d44a32ce6e6069aa1,101383070405
26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-24-24-76-632-19.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/mdd-7-25-5-ps05-psh07-9.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
28,945376,945376,NaN,1,NaN,2889.94,NaN,false,NaN,7125066935806,NaN,2888.09,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-7-40-8-40-05000-1.xml.hg/0,4062065412403,1.56248,2886.53,NaN,32674233,NaN,60483683,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,745677338,2889.085386013,13128140,false,275783038,NaN,99.936,taurusi6413.taurus.hrsk.tu-dresden.de,NaN,2888.09,1,DECOMP,2889.94,NaN,NaN,2863069760239
29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/reg-s20-p03-c20-d10-n10-l5-83.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-7-40-8-40-30000-8.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
31,896812,896812,2,0,[0.20815229415893555],26.502,0.4752829074859619,false,11,63587066498,[1],26.0094,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-2-40-180-84-090-56.xml.hg/0,32677896592,0.708036,25.3013,40,35924058,2,11238032,5.5,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,84,NaN,194010843,26.372324806,10081024,false,27993328,1,98.1412,taurusi6405.taurus.hrsk.tu-dresden.de,[0],26.0094,0,OK,26.502,NaN,7854d0d606eacb739fd6f07fa6e304afa7f383ea9044de9dc361f324abade11f,18458669311
32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-7-40-8-40-30000-4.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-7-40-8-40-07500-6.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-2-40-180-84-090-70.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
35,851536,851536,1,0,[0.10275149345397949],6.17774,0.2837958335876465,false,5,13679747037,[1],5.73334,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-2-40-180-84-090-25.xml.hg/0,7696454121,0.515004,5.21834,40,2083149,2,3178827,5.0,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,84,NaN,13910536,6.048642759,5630484,false,3125184,1,92.8065,taurusi6336.taurus.hrsk.tu-dresden.de,[0],5.73334,0,OK,6.17774,NaN,95c55f3a1cef7413be41d30f1cfd62f1d0fe2505136deb2cdf03e559524f52a2,4265690887
36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-2-40-180-84-090-29.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-20-20-60-632f-05.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
38,1936492,1936492,1,1,[0.3713645935058594],236.439,6.443580150604248,false,8,581558855945,[1],236.722,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/reg-s20-p03-c20-d10-n10-l5-35.xml.hg/0,227758642744,5.91657,230.805,130,346122801,3,48074521,8.0,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,100,NaN,2272983448,236.309896765,147604243,false,1835864488,1,100.119,taurusi6406.taurus.hrsk.tu-dresden.de,[0],236.722,1,OK,236.439,NaN,b9a012808403fdb11f22e5d17dba5e847b4b7f4329715c47ba6d9c9c50637c32,125881807994
39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-2-40-180-84-090-94.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-7-40-8-40-22500-8.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-7-40-8-40-15000-4.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
42,833772,833772,11,0,[0.08139300346374512],39.3759,0.14747262001037598,false,60,95317774222,[1],38.8697,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-24-24-76-632f-38.xml.hg/0,66831132942,0.398237,38.4715,24,5623346,3,4977633,5.454545454545454,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,75,NaN,47444016,39.246985360,3970212,false,3220782,1,98.7144,taurusi6486.taurus.hrsk.tu-dresden.de,[0],38.8697,0,OK,39.3759,NaN,8a766ffa75432d7a5ed157efaa4d19f1da5f4f336cab16094339e3161bb4b5bc,41891628173
43,757368,757368,1,0,[],1.31743,0,false,2.4000000000000004,2332147353,[],1.09109,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-5-2X-05c-01.xml.hg/0,795482113,0.255267,0.835827,12,291384,5,1063909,2.4000000000000004,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,94,NaN,2304940,1.187048448,1121943,false,1433740,1,82.8198,taurusi6508.taurus.hrsk.tu-dresden.de,[],1.09109,0,OK,1.31743,NaN,5fe4b48a58b19362142182c592d2b697fe1578b962c26ab8834c8b17f9bee252,444495131
44,891320,891320,NaN,0,NaN,38.8578,NaN,false,NaN,90712301758,NaN,37.4506,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-2-40-180-84-090-75.xml.hg/0,47519760901,1.09388,36.3567,NaN,52260234,NaN,14099286,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,306839395,38.313336696,12075178,false,22584784,NaN,96.3785,taurusi6406.taurus.hrsk.tu-dresden.de,NaN,37.4506,0,RTE,38.8578,NaN,NaN,26745173083
45,757808,757808,NaN,0,NaN,1.98996,NaN,false,NaN,3464204559,NaN,1.56188,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/mdd-7-25-5-ps05-psh09-5.xml.hg/0,1539027581,0.270278,1.29161,NaN,358807,NaN,1172027,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,2613190,1.784970713,1495721,false,1055537,NaN,78.4884,taurusi6336.taurus.hrsk.tu-dresden.de,NaN,1.56188,0,RTE,1.98996,NaN,NaN,810588796
46,758020,758020,1,0,[0.46607136726379395],2.03154,0.038941383361816406,false,2.0,3862034350,[1],1.72151,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-10-20-10-5-10000-14.xml.hg/0,1893027816,0.305006,1.4165,20,327111,10,1364797,2.0,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,5,NaN,2653106,1.892279119,1661504,false,1244952,1,84.7389,taurusi6486.taurus.hrsk.tu-dresden.de,[3],1.72151,0,OK,2.03154,NaN,5d16880feb83f6a5eab856e02bf85306f355e94b22ea36360d695fb6604f1bad,929735970
