instance,sha265_input,output
50-16-2-q.cnf,f9b2ac7fe5d30952173cfbefb08cd36611cc17be10e6b66c3b513fa370315b03,track2_069.mcc2020_wcnf
50-16-9-q.cnf,2677a55e07ac5d8368a9a734cef59199c148a582c3276fc73a601b758559d639,track2_070.mcc2020_wcnf
or-70-20-10-UC-20.cnf,217405cd97959b5958d433446c00c0602ab4c5973191fb5b3e4fe1a17c279396,track2_071.mcc2020_wcnf
50-18-8-q.cnf,dfafaecb29fae4d0bad2a43a19c7fcef95567bfeef8bf2a0a4788f5a2b023446,track2_072.mcc2020_wcnf
90-42-1-q.cnf,28c051b083e088f244a25598bbe408f6d8ea01461a2cdc880952a00659c0a934,track2_073.mcc2020_wcnf
or-100-20-9-UC-20.cnf,91e2a33721a729e9df1bfd730646f9faff74fd19c1a9b749c3749bddcbc53a14,track2_074.mcc2020_wcnf
or-60-5-4.cnf,312d2baf9ceb52415ef284f2ed08dc5ab40c71317561a5684cfaa93992cb1e0f,track2_075.mcc2020_wcnf
50-16-1-q.cnf,7e07c4267c60284e6fd90bee929d2bbef71fa340db4fc95ef4d74263542957b5,track2_076.mcc2020_wcnf
75-23-8-q.cnf,b6d70358d8d710f44e738a696fc51c4483c8f8118a62058528d9ccffc11235d7,track2_077.mcc2020_wcnf
75-26-3-q.cnf,fee0d2255bc88a5bb0001f34a97e8d8b526cbb271653bb20dc9c5bbb8ea0db67,track2_078.mcc2020_wcnf
or-50-10-8.cnf,ee8ae0b8c7c384d2d6ab58f601d688560edc9a34d7078c2fe0b51beca160f8b4,track2_079.mcc2020_wcnf
75-19-2-q.cnf,502aa79aff6b6e13b7498514c55f54a6db9df09f0296d1308e6e9b68693dbeaa,track2_080.mcc2020_wcnf
50-18-2-q.cnf,c03cf5be6ed34767f6079ddb5313bafc3e22215ee2d70c65730057e6def03b2b,track2_081.mcc2020_wcnf
75-25-3-q.cnf,a3fd0eb3a640505d111f233a5e263ad2cf1a91cbb5e069606fd3fcba7cee4928,track2_082.mcc2020_wcnf
log-5.cnf,43897b1d7c2087f84eecd69ccab382b3c78213c6be4e4a6165bcb1f9217a83f2,track2_083.mcc2020_wcnf
50-16-10-q.cnf,371c0a0f7b811a5d2f9555454dd345e0c2a07d53f0fef4ad0d2cbbb8e4862049,track2_084.mcc2020_wcnf
or-60-20-6.cnf,167524ea9afaf5a9bafd81712ffc1b0adb1cd0238ef080fdacff51c096649d4c,track2_085.mcc2020_wcnf
or-60-10-6.cnf,19fc65a2eb593bd97b3f3ef7a144617937b503fd500e24cabb36bea718990922,track2_086.mcc2020_wcnf
or-60-5-7.cnf,aad8250810c0494d24570781ff4d60e5a0482f440efedb3e291ccbc831cf8c59,track2_087.mcc2020_wcnf
90-50-3-q.cnf,3db13e8bbbed011b1351a265f76c161c28010a40a8e20040a43a1456748b5cf4,track2_088.mcc2020_wcnf
or-60-5-10.cnf,e7c588add2ca243ee829b5672cbb02042ab6f54f046028fb00f052fa10cce2f4,track2_089.mcc2020_wcnf
or-60-20-7.cnf,03034e8b55144ae6dd9e0ad83ba6418b3b066e49e4c775a6c799cf4a0bb897f5,track2_090.mcc2020_wcnf
or-60-20-1.cnf,90a3dc002ef4ed218f8b546e6c8b6ca202a94f291e0620547497235a52f20059,track2_091.mcc2020_wcnf
or-70-10-1.cnf,3d75256ba952192b82c7860bb79660e7dc6259e4c874706dcb0ac49b49535d42,track2_092.mcc2020_wcnf
50-18-5-q.cnf,8dc96c401ece699ff3fdeea30055b5d94eb0e36f3add918652054590e02c2f51,track2_093.mcc2020_wcnf
or-100-20-2-UC-20.cnf,d0a6f654e38006940efe2e688cebb208962f2abd139e9e57b290882cc115bcd1,track2_094.mcc2020_wcnf
50-16-4-q.cnf,d149b9c957c12cfa14a9481c86235adb54796fc9ac5b9eff2ebfdc33498613bc,track2_095.mcc2020_wcnf
75-26-5-q.cnf,1079998963f9cce03d7df33bf92670c3541d6affcfacacef50ccd36c98089e20,track2_096.mcc2020_wcnf
or-60-10-5.cnf,17d0e03ae4e44767696278a0cba29980987cc623cad3a25b55170f72177488a9,track2_097.mcc2020_wcnf
90-50-6-q.cnf,7b8ca3e733b7b2aa6fed506983824d3fb85bb9a52679e1badbc6a64a879433a1,track2_098.mcc2020_wcnf
75-24-6-q.cnf,f6cca3cc8e6d70e11c773a4987cf29e06b88cd9620d3c3886d32e43022a74ca8,track2_099.mcc2020_wcnf
or-70-20-4-UC-10.cnf,13ab0b4b101d74a76d931441d1617c44e124e808a629fb27aef3977d72ed2adc,track2_100.mcc2020_wcnf
or-100-5-4-UC-20.cnf,1290d550c384699cc78c4c9990c87ff5ae2f2f07c5e6711a03fae60f3d160dc2,track2_101.mcc2020_wcnf
or-50-5-2.cnf,164367d2604049c8466036b0a6c2e90966dd6aee23fc39a625b492d786d0c061,track2_102.mcc2020_wcnf
or-100-20-5-UC-20.cnf,52842aa0569bedd6bf2aa3ae78fbfcd9b9c499b3fd6829763e4d0cdb12755987,track2_103.mcc2020_wcnf
or-60-20-4.cnf,c5b4d695315a529c9c32fe9278335311415393a7ecfd8b88a5d75313ed582aad,track2_104.mcc2020_wcnf
or-70-20-5.cnf,16da45537c1efa4416d8b261e383085a1f7a3ebac23e35378bd2f9eee7327196,track2_105.mcc2020_wcnf
50-20-5-q.cnf,07c3b671d519a1e8369aeabbfc4697eef4bb68bf3fcb5ace2f9ae596e3c914bd,track2_106.mcc2020_wcnf
or-60-5-9.cnf,fef4071fbe42a23267859d1a3181d6aa6dccef4f9109ce62f05ea65e103f9f38,track2_107.mcc2020_wcnf
50-20-6-q.cnf,bdbc9ebc4538097f4f2bc0f97548166d7b2649e1a5e22172d1f3bc7250570346,track2_108.mcc2020_wcnf
or-70-20-8-UC-10.cnf,ab28b09c7df039e002fe2e256f847cea15da3a16be59dcf96f7046deaec29632,track2_109.mcc2020_wcnf
50-20-1-q.cnf,632d0d95d713f8ce9f717ef63269c36094f0d9ca1b31207536353483f6ae5153,track2_110.mcc2020_wcnf
or-70-20-8.cnf,afdfcdef2ed8725dd51fa2e14cfd57dbfeefd0216d48e0654b77d0bf455a588b,track2_111.mcc2020_wcnf
or-60-10-1.cnf,2aad9c87db26341f02d9832f075021b8dbd12ccc969da28af42dcd4be3fd8dc1,track2_112.mcc2020_wcnf
or-70-20-3-UC-10.cnf,85016a2da57c45c5dd8b8213433b3340124c0612af5b30c09fc639b45bc5f352,track2_113.mcc2020_wcnf
or-70-10-4.cnf,c3227cdd0a10da96c4aba988210134ce7ec5de2812c7af49d50427ebceebcc60,track2_114.mcc2020_wcnf
or-60-10-2.cnf,3d4bb79ba0295c72b00492119b7579966a8362e34c8b53b04e353e961f80bbc4,track2_115.mcc2020_wcnf
or-100-20-1-UC-30.cnf,d2cc0610f90b1bd66933ea2470b290c2596a12998ef7b4b4ccb8c8f271c12670,track2_116.mcc2020_wcnf
or-70-10-8.cnf,6fd695aa79b642c3ea175300b721a3765c8dfc02c1bde1fe14a2afd0074ded03,track2_117.mcc2020_wcnf
or-100-20-2-UC-10.cnf,57032675e233763a38654a37872f6bc2ee8a31d5415784c5cae38950492a0540,track2_118.mcc2020_wcnf
50-18-1-q.cnf,b50f2b0012620d47bb6a90403fa2bbb555ffb81f9628356d1f1f046ecd65471c,track2_119.mcc2020_wcnf
or-60-5-1.cnf,1b09f34e91eefe19e9d7e13f14f69b5a6dcccdbf05d8177f41307a69f524e593,track2_120.mcc2020_wcnf
50-18-9-q.cnf,dbfc934d593f2e23535c2c308bbf6047ee57bb7cf2016288a6a1f63c7b6ca85f,track2_121.mcc2020_wcnf
75-23-2-q.cnf,08a204476d3e81ee735d9e1a5811411ab7d67673b3a2d4d68a2f5dff76f8670c,track2_122.mcc2020_wcnf
or-100-20-1-UC-20.cnf,ea9f4b7806701aa731ae553866a2e62cab814651d476ebc3bf4c705147b8eabc,track2_123.mcc2020_wcnf
or-60-10-3.cnf,c86bfcaf9f1e62ee3cfc610d61eb664d3c53e201f1630c3e50ccbdb48617039b,track2_124.mcc2020_wcnf
50-20-3-q.cnf,6b880bdb9c8c7d45168fab9789e5d3ce98d6094134c02c3197dfb2bc291134ea,track2_125.mcc2020_wcnf
or-70-5-7.cnf,b91b22fa9de54e51ce2031525e42672eee1e3c50cf0636a026e7c60903401b27,track2_126.mcc2020_wcnf
or-60-20-9.cnf,9fc8788c6eb7c81038433062d183e357f6f6d357c2818a1101511bf2ff4510c1,track2_127.mcc2020_wcnf
or-70-5-1.cnf,a2e257c3e1cfeacdceaeddc02853bbd37b00c858b4ae14fef047cf8bf073c6a4,track2_128.mcc2020_wcnf
50-16-3-q.cnf,595d799e751d4c7ebb8f9069e7dfcd4d1da306062c2220e806f500e3bca57f67,track2_129.mcc2020_wcnf
or-60-5-6.cnf,4ceb4beb8c25693d9eba5b5af2813156c255e2479bce1d18b792f47eedb86e81,track2_130.mcc2020_wcnf
or-100-10-1-UC-10.cnf,f0581e8c2dbe2831480688bf7c06f5a0ebc213193a534d4d0b129e13fda0ed7d,track2_131.mcc2020_wcnf
or-100-5-4-UC-10.cnf,2495e41480dd54f08d62be191f1376eb2c55ee6bb824a0fcd7174674bf246720,track2_132.mcc2020_wcnf
or-70-20-6.cnf,a63c9127e8663b00b1b14b6e02be424bc3c373f7608c2eaa67db317b6a7cb300,track2_133.mcc2020_wcnf
or-70-5-10.cnf,a6babf83d95d13d08bbf3a4adccb82132f54161b3c25c22236a7abcb16f98c7e,track2_134.mcc2020_wcnf
or-70-10-6.cnf,d2e974494efef96c7e1e64c6cde2e5c227a3bf4e67127c798f0db2d69c03c297,track2_135.mcc2020_wcnf
50-18-10-q.cnf,fe31cf41597f39e478b3ecdfbe69b419a0996cb6b68106c079f78c71a40c7c58,track2_136.mcc2020_wcnf
or-60-10-4.cnf,79ddbcaaac11daa9226d79748d0325653f87e32b173a707ea14bfbfd665c2f31,track2_137.mcc2020_wcnf
or-60-20-2.cnf,e283fecf0acc356f99f18a9781f85eb5c1558bcb4026aa2ad1d3f933009dce8c,track2_138.mcc2020_wcnf
50-20-8-q.cnf,f90a16e81c7f25b97d1a02f18e0e4408d36491c76cc2637d9b888e95a5009bf7,track2_139.mcc2020_wcnf
or-100-5-2-UC-10.cnf,906cf589558128e7eae8f43b3beccabd2f45973d7c90ae262c77d4010e5759ec,track2_140.mcc2020_wcnf
or-60-10-7.cnf,36dd74824156e0c0c5858e51a65fe703c7f5ce8db8436b9397fffcc06ad7bd0e,track2_141.mcc2020_wcnf
or-100-10-7-UC-10.cnf,663345c9075077d1c9439410432528a9336af8fc2cb7a9f209fb31d9bfab2059,track2_142.mcc2020_wcnf
90-50-9-q.cnf,8788d301f641c4678f719340cd48991618fc2b78ad6788692b18bd72537acf6e,track2_143.mcc2020_wcnf
or-60-10-8.cnf,df145367e1da59306b7070e3f12e9ae1aaf8871fc50577b901b68ecda096bf97,track2_144.mcc2020_wcnf
50-20-7-q.cnf,7c658afbe01954451ebc7a2ae596156657d210ec63d7c31532a4219249c78827,track2_145.mcc2020_wcnf
90-50-5-q.cnf,03c0d695d240a4f31f231b8967d87b655001edccec683fbec894611217ac1aea,track2_146.mcc2020_wcnf
50-20-2-q.cnf,0b47af1ecdccd34c2aec2146b2da91b4625000f6dfdd63c5e03cce1f8da480e2,track2_147.mcc2020_wcnf
90-50-4-q.cnf,4ee90a2a4aab9327abdcf5ceeab05390e9f5a2e263661eae5d42d342fb21d18b,track2_148.mcc2020_wcnf
75-26-8-q.cnf,5a71d0fe6d6337cd879fb12bddbaaf7c83f1bc258b56044a2e74322048c4ecf0,track2_149.mcc2020_wcnf
or-60-10-9.cnf,cedeecb4781bbecc0562f3bf839a4c7ce608b2e1412978bf976f312abd305ed2,track2_150.mcc2020_wcnf
or-100-10-8-UC-10.cnf,80f5504aef6c0d22e9ceef4056ef003cb1c426c4bb1e6a23d69121bd69a330dc,track2_151.mcc2020_wcnf
or-100-20-4-UC-10.cnf,603ff7c49f456083b9611d48c5e06daa9d47412398df478f2526be7d52c8909c,track2_152.mcc2020_wcnf
or-70-20-2.cnf,2be53bd42e77e9e261a7fd918ef20aa21f7d8e6752c74f5692e792b41d11a965,track2_153.mcc2020_wcnf
or-70-20-9.cnf,82319c5a0fc7a2109983d3ad14ed036c16569eb1287cebce6a2c852d52c1ed00,track2_154.mcc2020_wcnf
or-100-20-7-UC-10.cnf,dab3395743e8d538c73e0a4e6cb489245fe5c01d50efa3addfe1b49ea3de5855,track2_155.mcc2020_wcnf
or-70-5-2.cnf,2e1d25d0b72d59127a0d687d2378e8e6d0c92f99cf6c63363d729eeab5230a59,track2_156.mcc2020_wcnf
or-70-5-5.cnf,cf186a5d9b908b94b6704b74c95dfe86adfa9241a0c3748a3c25f9ef88f8afd6,track2_157.mcc2020_wcnf
or-100-5-8-UC-10.cnf,0c49a03c867ce15d7553f97278256e49e13de7cdd687c7a85cde09f51d098001,track2_158.mcc2020_wcnf
or-100-10-5-UC-10.cnf,359da73d6bb6b876e89e3c8c4157ed4f4d5356901bb61d9361dbc221927a2900,track2_159.mcc2020_wcnf
or-70-10-9.cnf,9ff0a8a9763e9689c28374f614163c724658a15e8ca611a545f164b927bde3a1,track2_160.mcc2020_wcnf
or-70-5-4.cnf,e4c4adb8e933a02b221553d6ec181f959c9188c1706565b18e1bad946da33cbe,track2_161.mcc2020_wcnf
or-100-10-6-UC-10.cnf,0d779e8b09d9b5591a51a22aa2c31b78521067a762303bca65756f847e10922e,track2_162.mcc2020_wcnf
90-50-10-q.cnf,047ebde4278270ae74c15a1ff4164ce0d4d89fb715d09ce6a72041e6f64ecf17,track2_163.mcc2020_wcnf
90-50-1-q.cnf,57275d022f89b22755f85adab876c5d1cc58b791082c4ca5c4c525e565c86557,track2_164.mcc2020_wcnf
or-70-10-2.cnf,649aefd9ce14044ae69776a48de705a940ce5908c1c79727d598a25a3c935f2e,track2_165.mcc2020_wcnf
or-70-20-3.cnf,740923fae01c3605a7a9098d1026d452eedff5ee877a29965fcd794cfd67c1ec,track2_166.mcc2020_wcnf
50-20-4-q.cnf,9eee8e912e60f985d9f0933b2ccbc70f0060c256db845785ed2358789551dadb,track2_167.mcc2020_wcnf
or-70-20-7.cnf,5afd19f7b45c92ed270376c2309b6de5dc9f6896a44626fa8a82a436a41c8f49,track2_168.mcc2020_wcnf
or-100-20-5-UC-10.cnf,7b00df258733f72faa5b9a533120532492baceb8d7e5b72682c09612e6703887,track2_169.mcc2020_wcnf
or-70-5-3.cnf,071a54f1ce9db734d9a0218a4619375de91b30e72b6cd4d5575e3174212862e3,track2_170.mcc2020_wcnf
or-70-10-5.cnf,7d9f28ce7016702db72fbd12e29574714debd668ef00e9662b90326a3c92822a,track2_171.mcc2020_wcnf
or-100-20-9-UC-10.cnf,02846d6830916cbc96ce30c8b62c2d567a7b11362485be9f7458f1a8335b90ce,track2_172.mcc2020_wcnf
50-20-10-q.cnf,c93ca786ae796f42761fae0ce177deca9ac8e5ddc8ecd34c98d4d75ee050fc06,track2_173.mcc2020_wcnf
or-100-10-10-UC-10.cnf,eeb6fa8cc5d318048d79405cd5a0ccb2eaa1ed89a4819e29dd5f08442b0b7884,track2_174.mcc2020_wcnf
or-70-10-3.cnf,73ed1fb7ff9c48e7549bbd9e34c212260829b5bf95cd953becb5cde47a7a4d24,track2_175.mcc2020_wcnf
or-100-5-4.cnf,81565a84d6cc137338b7898a07176927a91d0c7b6787bd061b3c530866ddfdcc,track2_176.mcc2020_wcnf
or-100-20-7.cnf,cc4f35d2d5ad8ec1db2e7e993419db49eb769631294f56ab0b49cc57ba1cd9ae,track2_177.mcc2020_wcnf
or-100-10-9.cnf,b0aa6498d4c44507ee5a995332a1d25bd216f2f17a95e7cd5dc50c68cead3676,track2_178.mcc2020_wcnf
or-100-20-2.cnf,46f7459379ad48e210fccf2d35b0cabf1a3c851dcbcde32f755b6601bc4dc4ed,track2_179.mcc2020_wcnf
or-100-10-2-UC-10.cnf,9262442f9c4d97b31d85b90d6758219619806514f87ff62c6b71dc7f393ddab8,track2_180.mcc2020_wcnf
or-70-10-10.cnf,46612288f319c2263c791a88ae9d5a51722c1dfc5ea1a890190f2cde57bdf918,track2_181.mcc2020_wcnf
or-100-5-10.cnf,653d55d4846504c968bb3555ff2b2f67f364405942ff00d3c897b099ebe6ed26,track2_182.mcc2020_wcnf
or-100-10-10.cnf,c75e6873b689cc104f068431f068553382fef7ca59431fb0a4d63012f39cd484,track2_183.mcc2020_wcnf
or-100-20-5.cnf,0dcb77477a0fd6eb7c4295d9f35752dfb8b8e604b8ca6db6e2e5df7ff9326c7f,track2_184.mcc2020_wcnf
or-100-5-9.cnf,ff3a5e9d4bfd0ccb7db6ce69cfda4d2504443155e6c86ce602d79b3d4b8b0f8f,track2_185.mcc2020_wcnf
or-100-5-8.cnf,fb58d6efe78388c9a8a54e3d2e9b50eae5b7b5fe87250967bd9492ebc2ee9140,track2_186.mcc2020_wcnf
or-100-20-1.cnf,b580ccbc75ac349103dd15ef5788cd03929d6d77a15ea7815002c5095fff6a20,track2_187.mcc2020_wcnf
or-100-20-1-UC-10.cnf,5444e231ef1350eba88b6e020f242107fb2daf5f5cce7c00526910986b8e5e41,track2_188.mcc2020_wcnf
or-70-20-4.cnf,b90fcab4ff9bf883108f3635fd4842c77bace3482157ffce12c324dd2a94be41,track2_189.mcc2020_wcnf
or-100-5-6.cnf,d66b2958006ed0c1a3938eef409926a7492724d4c4b0f1dbd22fc645fbc8683c,track2_190.mcc2020_wcnf
or-100-10-8.cnf,639edd33a417672d96509bf674f09d56d5f563ea70df8878c5abd61cd472e325,track2_191.mcc2020_wcnf
or-100-20-4.cnf,50eb4c10c6eeb92c29997831a3d31b4c6611683f1189965a07059286f1d507e3,track2_192.mcc2020_wcnf
